id,sitio+variante,Espesor_1,Espesor_2,Espesor_3,Resistividad_1,Resistividad_2,Resistividad_3,Resistividad_4,AB2_1,AB2_2,AB2_3,AB2_4,AB2_5,AB2_6,AB2_7,AB2_8,AB2_9,AB2_10,AB2_11,AB2_12,AB2_13,AB2_14,AB2_15,AB2_16,AB2_17,AB2_18,AB2_19,AB2_20,AB2_21,AB2_22,AB2_23,AB2_24,AB2_25,AB2_26,AB2_27,AB2_28,AB2_29,AB2_30
21,sitio1_var21,6.272905337360114,74.64283025981398,120.752870154619,150.0,60.0,100.0,120.0,2,5,8,10,12,15,18,20,24,28,30,45,55,65,75,85,95,110,130,140,150,170,190,210,220,240,260,280,300,320
22,sitio1_var22,6.066304837825529,66.3697070467334,120.69725715383473,437.2,90.0,4765.06,120.0,2,5,8,10,12,15,18,20,24,28,30,45,55,65,75,85,95,110,130,140,150,170,190,210,220,240,260,280,300,320
23,sitio1_var23,6.353346283849831,74.6818028447174,119.97119955091706,150.0,60.0,4765.06,965.4,2,5,8,10,12,15,18,20,24,28,30,45,55,65,75,85,95,110,130,140,150,170,190,210,220,240,260,280,300,320
24,sitio1_var24,6.119686587656648,72.0357295375074,114.2198689903875,150.0,60.0,4765.06,965.4,2,5,8,10,12,15,18,20,24,28,30,45,55,65,75,85,95,110,130,140,150,170,190,210,220,240,260,280,300,320
25,sitio1_var25,6.3166319690053925,61.45103297948174,114.83345100470844,437.2,90.0,4765.06,120.0,2,5,8,10,12,15,18,20,24,28,30,45,55,65,75,85,95,110,130,140,150,170,190,210,220,240,260,280,300,320
26,sitio1_var26,6.3864683760154195,65.26805805922751,114.68499686259764,196.01,90.0,804.5,965.4,2,5,8,10,12,15,18,20,24,28,30,45,55,65,75,85,95,110,130,140,150,170,190,210,220,240,260,280,300,320
27,sitio1_var27,6.125337199788044,78.28980974503762,114.25778439847358,150.0,60.0,4765.06,5718.072,2,5,8,10,12,15,18,20,24,28,30,45,55,65,75,85,95,110,130,140,150,170,190,210,220,240,260,280,300,320
28,sitio1_var28,6.243861202840358,65.58033416707445,119.12803609830753,437.2,60.0,4765.06,120.0,2,5,8,10,12,15,18,20,24,28,30,45,55,65,75,85,95,110,130,140,150,170,190,210,220,240,260,280,300,320
29,sitio1_var29,6.2679108812188735,70.52325617162,122.89079207811261,150.0,60.0,100.0,965.4,2,5,8,10,12,15,18,20,24,28,30,45,55,65,75,85,95,110,130,140,150,170,190,210,220,240,260,280,300,320
30,sitio1_var30,6.262332275823165,77.96610985985068,114.22734285463356,437.2,90.0,804.5,120.0,2,5,8,10,12,15,18,20,24,28,30,45,55,65,75,85,95,110,130,140,150,170,190,210,220,240,260,280,300,320
31,sitio1_var31,6.210070138558924,69.9137360296321,125.69242857687841,196.01,60.0,804.5,120.0,2,5,8,10,12,15,18,20,24,28,30,45,55,65,75,85,95,110,130,140,150,170,190,210,220,240,260,280,300,320
32,sitio1_var32,6.1927228817353805,77.66279166627926,130.23831594755745,437.2,90.0,804.5,5718.072,2,5,8,10,12,15,18,20,24,28,30,45,55,65,75,85,95,110,130,140,150,170,190,210,220,240,260,280,300,320
33,sitio1_var33,6.268644772169904,70.41826420068146,126.69570746284205,196.01,60.0,4765.06,5718.072,2,5,8,10,12,15,18,20,24,28,30,45,55,65,75,85,95,110,130,140,150,170,190,210,220,240,260,280,300,320
34,sitio1_var34,6.255402478709508,74.51498079367423,119.76216739759815,196.01,60.0,804.5,120.0,2,5,8,10,12,15,18,20,24,28,30,45,55,65,75,85,95,110,130,140,150,170,190,210,220,240,260,280,300,320
35,sitio1_var35,6.383854372983528,77.45441180715883,129.13783939148038,150.0,60.0,804.5,5718.072,2,5,8,10,12,15,18,20,24,28,30,45,55,65,75,85,95,110,130,140,150,170,190,210,220,240,260,280,300,320
36,sitio1_var36,6.149319314327389,66.31948609349647,131.14606185186227,437.2,90.0,100.0,120.0,2,5,8,10,12,15,18,20,24,28,30,45,55,65,75,85,95,110,130,140,150,170,190,210,220,240,260,280,300,320
37,sitio1_var37,6.362929590520694,72.40524215685244,116.64904147464786,150.0,90.0,804.5,965.4,2,5,8,10,12,15,18,20,24,28,30,45,55,65,75,85,95,110,130,140,150,170,190,210,220,240,260,280,300,320
38,sitio1_var38,6.0198969563965505,76.03937414413686,121.04299358417084,196.01,60.0,804.5,120.0,2,5,8,10,12,15,18,20,24,28,30,45,55,65,75,85,95,110,130,140,150,170,190,210,220,240,260,280,300,320
39,sitio1_var39,6.13988170772916,69.00569951726382,123.94000013079811,196.01,60.0,100.0,120.0,2,5,8,10,12,15,18,20,24,28,30,45,55,65,75,85,95,110,130,140,150,170,190,210,220,240,260,280,300,320
40,sitio1_var40,6.235881979697766,75.23316671050635,127.61991948060975,150.0,60.0,4765.06,120.0,2,5,8,10,12,15,18,20,24,28,30,45,55,65,75,85,95,110,130,140,150,170,190,210,220,240,260,280,300,320
41,sitio1_var41,6.301500223404338,66.49763546473713,119.01162322247632,437.2,60.0,4765.06,965.4,2,5,8,10,12,15,18,20,24,28,30,45,55,65,75,85,95,110,130,140,150,170,190,210,220,240,260,280,300,320
42,sitio1_var42,6.350747551176422,68.54633006766468,125.8994828850346,196.01,60.0,4765.06,965.4,2,5,8,10,12,15,18,20,24,28,30,45,55,65,75,85,95,110,130,140,150,170,190,210,220,240,260,280,300,320
43,sitio1_var43,6.303089242748595,74.22059043483081,113.88005787840125,437.2,60.0,100.0,965.4,2,5,8,10,12,15,18,20,24,28,30,45,55,65,75,85,95,110,130,140,150,170,190,210,220,240,260,280,300,320
44,sitio1_var44,6.209219290385564,69.82240656998391,123.68186144380883,150.0,60.0,804.5,5718.072,2,5,8,10,12,15,18,20,24,28,30,45,55,65,75,85,95,110,130,140,150,170,190,210,220,240,260,280,300,320
45,sitio1_var45,6.084577222441295,69.35590075027005,119.877790082203,150.0,60.0,100.0,120.0,2,5,8,10,12,15,18,20,24,28,30,45,55,65,75,85,95,110,130,140,150,170,190,210,220,240,260,280,300,320
46,sitio1_var46,6.045191111084641,74.73136432743766,115.03179827354396,437.2,90.0,4765.06,5718.072,2,5,8,10,12,15,18,20,24,28,30,45,55,65,75,85,95,110,130,140,150,170,190,210,220,240,260,280,300,320
47,sitio1_var47,6.049449167205125,60.96704795110188,119.49180036768587,196.01,60.0,804.5,120.0,2,5,8,10,12,15,18,20,24,28,30,45,55,65,75,85,95,110,130,140,150,170,190,210,220,240,260,280,300,320
48,sitio1_var48,6.0204322981755904,64.11872872592431,121.72250656849508,437.2,90.0,4765.06,120.0,2,5,8,10,12,15,18,20,24,28,30,45,55,65,75,85,95,110,130,140,150,170,190,210,220,240,260,280,300,320
49,sitio1_var49,6.163789184505591,67.52145226825287,126.06651506201281,196.01,60.0,804.5,965.4,2,5,8,10,12,15,18,20,24,28,30,45,55,65,75,85,95,110,130,140,150,170,190,210,220,240,260,280,300,320
50,sitio1_var50,6.1282327456326975,69.33615072339833,128.9788422212145,196.01,60.0,100.0,5718.072,2,5,8,10,12,15,18,20,24,28,30,45,55,65,75,85,95,110,130,140,150,170,190,210,220,240,260,280,300,320
51,sitio1_var51,6.068173364962694,68.14464701275338,123.67970868127335,437.2,60.0,4765.06,5718.072,2,5,8,10,12,15,18,20,24,28,30,45,55,65,75,85,95,110,130,140,150,170,190,210,220,240,260,280,300,320
52,sitio1_var52,6.3891715136319585,61.02899656278001,123.94709974203236,437.2,60.0,4765.06,5718.072,2,5,8,10,12,15,18,20,24,28,30,45,55,65,75,85,95,110,130,140,150,170,190,210,220,240,260,280,300,320
53,sitio1_var53,6.215827928554726,71.93802799807905,117.61849511607787,196.01,90.0,4765.06,120.0,2,5,8,10,12,15,18,20,24,28,30,45,55,65,75,85,95,110,130,140,150,170,190,210,220,240,260,280,300,320
54,sitio1_var54,6.1242434795798895,64.48267680818935,128.21582435134655,437.2,60.0,100.0,120.0,2,5,8,10,12,15,18,20,24,28,30,45,55,65,75,85,95,110,130,140,150,170,190,210,220,240,260,280,300,320
55,sitio1_var55,6.192561666748179,67.77929058213596,118.52726842075101,150.0,90.0,4765.06,120.0,2,5,8,10,12,15,18,20,24,28,30,45,55,65,75,85,95,110,130,140,150,170,190,210,220,240,260,280,300,320
56,sitio1_var56,6.202805089676748,65.12325580637221,118.53290967878439,150.0,90.0,804.5,120.0,2,5,8,10,12,15,18,20,24,28,30,45,55,65,75,85,95,110,130,140,150,170,190,210,220,240,260,280,300,320
57,sitio1_var57,6.052714988497627,76.86157990770683,117.67305606706552,150.0,90.0,804.5,965.4,2,5,8,10,12,15,18,20,24,28,30,45,55,65,75,85,95,110,130,140,150,170,190,210,220,240,260,280,300,320
58,sitio1_var58,6.170042788273683,76.22727640428732,125.75099507598092,196.01,60.0,4765.06,120.0,2,5,8,10,12,15,18,20,24,28,30,45,55,65,75,85,95,110,130,140,150,170,190,210,220,240,260,280,300,320
59,sitio1_var59,6.072966090303317,74.18792086677242,114.93160638383634,150.0,60.0,100.0,120.0,2,5,8,10,12,15,18,20,24,28,30,45,55,65,75,85,95,110,130,140,150,170,190,210,220,240,260,280,300,320
60,sitio1_var60,6.3505866579057,71.45693133011845,124.35559468354603,437.2,60.0,100.0,965.4,2,5,8,10,12,15,18,20,24,28,30,45,55,65,75,85,95,110,130,140,150,170,190,210,220,240,260,280,300,320
61,sitio1_var61,6.051384891603282,74.58014776932464,119.55914635268675,196.01,90.0,804.5,5718.072,2,5,8,10,12,15,18,20,24,28,30,45,55,65,75,85,95,110,130,140,150,170,190,210,220,240,260,280,300,320
62,sitio1_var62,6.242476576950859,77.18912993933642,123.44208948771313,150.0,60.0,804.5,120.0,2,5,8,10,12,15,18,20,24,28,30,45,55,65,75,85,95,110,130,140,150,170,190,210,220,240,260,280,300,320
63,sitio1_var63,6.379277530941004,67.50974565210744,130.07029875451738,196.01,60.0,100.0,120.0,2,5,8,10,12,15,18,20,24,28,30,45,55,65,75,85,95,110,130,140,150,170,190,210,220,240,260,280,300,320
64,sitio1_var64,6.181184566867807,75.44127349022258,119.90331224715675,437.2,60.0,804.5,120.0,2,5,8,10,12,15,18,20,24,28,30,45,55,65,75,85,95,110,130,140,150,170,190,210,220,240,260,280,300,320
65,sitio1_var65,6.168840343568817,77.52265458387681,130.87754397213394,437.2,60.0,4765.06,965.4,2,5,8,10,12,15,18,20,24,28,30,45,55,65,75,85,95,110,130,140,150,170,190,210,220,240,260,280,300,320
66,sitio1_var66,6.0226635107870825,74.07761486914396,113.59726230677462,196.01,60.0,100.0,120.0,2,5,8,10,12,15,18,20,24,28,30,45,55,65,75,85,95,110,130,140,150,170,190,210,220,240,260,280,300,320
67,sitio1_var67,6.2799447109736235,68.825452542622,119.81148431412117,196.01,60.0,4765.06,5718.072,2,5,8,10,12,15,18,20,24,28,30,45,55,65,75,85,95,110,130,140,150,170,190,210,220,240,260,280,300,320
68,sitio1_var68,6.382685408385054,65.8847912000584,124.58977341918212,437.2,60.0,100.0,120.0,2,5,8,10,12,15,18,20,24,28,30,45,55,65,75,85,95,110,130,140,150,170,190,210,220,240,260,280,300,320
69,sitio1_var69,6.295308540590362,68.3955270629016,115.3717294674997,437.2,60.0,804.5,5718.072,2,5,8,10,12,15,18,20,24,28,30,45,55,65,75,85,95,110,130,140,150,170,190,210,220,240,260,280,300,320
70,sitio1_var70,6.083442281301164,72.4195783880526,116.98780254594077,196.01,90.0,100.0,120.0,2,5,8,10,12,15,18,20,24,28,30,45,55,65,75,85,95,110,130,140,150,170,190,210,220,240,260,280,300,320
71,sitio1_var71,6.145810202075747,74.03604009292143,125.17290447666203,437.2,90.0,4765.06,120.0,2,5,8,10,12,15,18,20,24,28,30,45,55,65,75,85,95,110,130,140,150,170,190,210,220,240,260,280,300,320
72,sitio1_var72,6.022402181270253,66.39366359525157,121.61685455751956,150.0,60.0,4765.06,965.4,2,5,8,10,12,15,18,20,24,28,30,45,55,65,75,85,95,110,130,140,150,170,190,210,220,240,260,280,300,320
73,sitio1_var73,6.060794313595616,69.3926540400476,114.78470214240012,196.01,60.0,100.0,120.0,2,5,8,10,12,15,18,20,24,28,30,45,55,65,75,85,95,110,130,140,150,170,190,210,220,240,260,280,300,320
74,sitio1_var74,6.1589619833323175,67.5442517288079,122.8228942326965,437.2,60.0,4765.06,5718.072,2,5,8,10,12,15,18,20,24,28,30,45,55,65,75,85,95,110,130,140,150,170,190,210,220,240,260,280,300,320
75,sitio1_var75,6.197977141319376,77.5206670596572,115.4970232101164,196.01,60.0,100.0,120.0,2,5,8,10,12,15,18,20,24,28,30,45,55,65,75,85,95,110,130,140,150,170,190,210,220,240,260,280,300,320
76,sitio1_var76,6.044281343659578,75.0212333657919,125.90270830221095,196.01,60.0,804.5,5718.072,2,5,8,10,12,15,18,20,24,28,30,45,55,65,75,85,95,110,130,140,150,170,190,210,220,240,260,280,300,320
77,sitio1_var77,6.050581038008856,63.239700918084615,128.73975653050752,196.01,90.0,100.0,5718.072,2,5,8,10,12,15,18,20,24,28,30,45,55,65,75,85,95,110,130,140,150,170,190,210,220,240,260,280,300,320
78,sitio1_var78,6.382998337175484,77.9947892591436,130.48646668324014,196.01,60.0,4765.06,120.0,2,5,8,10,12,15,18,20,24,28,30,45,55,65,75,85,95,110,130,140,150,170,190,210,220,240,260,280,300,320
79,sitio1_var79,6.149898845301684,64.73619102812302,117.1983084751616,437.2,60.0,4765.06,5718.072,2,5,8,10,12,15,18,20,24,28,30,45,55,65,75,85,95,110,130,140,150,170,190,210,220,240,260,280,300,320
80,sitio1_var80,6.091627533337291,63.17927506015564,120.78622819066213,437.2,90.0,804.5,965.4,2,5,8,10,12,15,18,20,24,28,30,45,55,65,75,85,95,110,130,140,150,170,190,210,220,240,260,280,300,320
81,sitio1_var81,6.187820722752013,63.681354161248215,120.39186816820497,150.0,90.0,100.0,965.4,2,5,8,10,12,15,18,20,24,28,30,45,55,65,75,85,95,110,130,140,150,170,190,210,220,240,260,280,300,320
82,sitio1_var82,6.086709058591268,75.4893675369328,123.94017537840656,437.2,60.0,100.0,965.4,2,5,8,10,12,15,18,20,24,28,30,45,55,65,75,85,95,110,130,140,150,170,190,210,220,240,260,280,300,320
83,sitio1_var83,6.144693657817325,77.56042307622299,125.11170196010524,196.01,60.0,100.0,965.4,2,5,8,10,12,15,18,20,24,28,30,45,55,65,75,85,95,110,130,140,150,170,190,210,220,240,260,280,300,320
84,sitio1_var84,6.32570648688919,74.79290922021873,115.85274673706151,150.0,60.0,804.5,5718.072,2,5,8,10,12,15,18,20,24,28,30,45,55,65,75,85,95,110,130,140,150,170,190,210,220,240,260,280,300,320
85,sitio1_var85,6.271914539222262,62.154186663826934,120.23610576409891,437.2,60.0,100.0,965.4,2,5,8,10,12,15,18,20,24,28,30,45,55,65,75,85,95,110,130,140,150,170,190,210,220,240,260,280,300,320
86,sitio1_var86,6.300816660951152,63.639077081574506,124.59261668040644,196.01,90.0,804.5,5718.072,2,5,8,10,12,15,18,20,24,28,30,45,55,65,75,85,95,110,130,140,150,170,190,210,220,240,260,280,300,320
87,sitio1_var87,6.37996171485515,78.21771243012887,124.19683047917277,150.0,60.0,100.0,5718.072,2,5,8,10,12,15,18,20,24,28,30,45,55,65,75,85,95,110,130,140,150,170,190,210,220,240,260,280,300,320
88,sitio1_var88,6.147464216355596,73.2171949857946,118.14467244882,196.01,90.0,4765.06,120.0,2,5,8,10,12,15,18,20,24,28,30,45,55,65,75,85,95,110,130,140,150,170,190,210,220,240,260,280,300,320
89,sitio1_var89,6.353722094988472,77.25691441102279,123.56288850123154,150.0,60.0,100.0,5718.072,2,5,8,10,12,15,18,20,24,28,30,45,55,65,75,85,95,110,130,140,150,170,190,210,220,240,260,280,300,320
90,sitio1_var90,6.268454021476188,63.59989958056057,128.1925287057343,150.0,90.0,100.0,120.0,2,5,8,10,12,15,18,20,24,28,30,45,55,65,75,85,95,110,130,140,150,170,190,210,220,240,260,280,300,320
91,sitio1_var91,6.046387363451033,62.92092968445173,127.80467310239233,196.01,90.0,804.5,965.4,2,5,8,10,12,15,18,20,24,28,30,45,55,65,75,85,95,110,130,140,150,170,190,210,220,240,260,280,300,320
92,sitio1_var92,6.044074009471561,61.054207571600884,119.51785251093206,196.01,60.0,100.0,965.4,2,5,8,10,12,15,18,20,24,28,30,45,55,65,75,85,95,110,130,140,150,170,190,210,220,240,260,280,300,320
93,sitio1_var93,6.394754783048952,64.2736287047077,123.25600456779712,437.2,60.0,100.0,965.4,2,5,8,10,12,15,18,20,24,28,30,45,55,65,75,85,95,110,130,140,150,170,190,210,220,240,260,280,300,320
94,sitio1_var94,6.21888268089034,62.40580632227049,114.0877700234171,150.0,60.0,804.5,5718.072,2,5,8,10,12,15,18,20,24,28,30,45,55,65,75,85,95,110,130,140,150,170,190,210,220,240,260,280,300,320
95,sitio1_var95,6.088210057305161,78.22535187056863,119.9160069204651,437.2,60.0,100.0,965.4,2,5,8,10,12,15,18,20,24,28,30,45,55,65,75,85,95,110,130,140,150,170,190,210,220,240,260,280,300,320
96,sitio1_var96,6.096214256400139,61.23197573212131,119.59021228879952,150.0,60.0,100.0,965.4,2,5,8,10,12,15,18,20,24,28,30,45,55,65,75,85,95,110,130,140,150,170,190,210,220,240,260,280,300,320
97,sitio1_var97,6.28788331829678,76.26937331102222,123.78306273437835,437.2,90.0,4765.06,965.4,2,5,8,10,12,15,18,20,24,28,30,45,55,65,75,85,95,110,130,140,150,170,190,210,220,240,260,280,300,320
98,sitio1_var98,6.332411103477042,76.34186777296313,119.78748561482435,150.0,90.0,100.0,965.4,2,5,8,10,12,15,18,20,24,28,30,45,55,65,75,85,95,110,130,140,150,170,190,210,220,240,260,280,300,320
99,sitio1_var99,6.151988392941736,71.55516203035151,126.15257382982709,437.2,90.0,804.5,120.0,2,5,8,10,12,15,18,20,24,28,30,45,55,65,75,85,95,110,130,140,150,170,190,210,220,240,260,280,300,320
100,sitio1_var100,6.365723713356768,73.43007484963474,128.39014135519074,150.0,60.0,4765.06,5718.072,2,5,8,10,12,15,18,20,24,28,30,45,55,65,75,85,95,110,130,140,150,170,190,210,220,240,260,280,300,320
101,sitio1_var101,6.1167925275203165,75.4828164203093,130.6264420680393,437.2,60.0,4765.06,5718.072,2,5,8,10,12,15,18,20,24,28,30,45,55,65,75,85,95,110,130,140,150,170,190,210,220,240,260,280,300,320
102,sitio1_var102,6.235820995996567,74.10272882758548,128.365988132461,150.0,60.0,100.0,5718.072,2,5,8,10,12,15,18,20,24,28,30,45,55,65,75,85,95,110,130,140,150,170,190,210,220,240,260,280,300,320
103,sitio1_var103,6.08565670334011,70.63762759311345,125.3172449542387,196.01,90.0,100.0,120.0,2,5,8,10,12,15,18,20,24,28,30,45,55,65,75,85,95,110,130,140,150,170,190,210,220,240,260,280,300,320
104,sitio1_var104,6.359150651929541,65.08343919897226,118.5111060573902,437.2,60.0,4765.06,5718.072,2,5,8,10,12,15,18,20,24,28,30,45,55,65,75,85,95,110,130,140,150,170,190,210,220,240,260,280,300,320
105,sitio1_var105,6.218369189348122,75.71616361538139,127.60495416691211,196.01,60.0,804.5,5718.072,2,5,8,10,12,15,18,20,24,28,30,45,55,65,75,85,95,110,130,140,150,170,190,210,220,240,260,280,300,320
106,sitio1_var106,6.083130189775818,60.72770523419289,126.23989094469353,150.0,60.0,4765.06,5718.072,2,5,8,10,12,15,18,20,24,28,30,45,55,65,75,85,95,110,130,140,150,170,190,210,220,240,260,280,300,320
107,sitio1_var107,6.266845760888182,76.89271826000923,115.4283284766307,437.2,90.0,804.5,5718.072,2,5,8,10,12,15,18,20,24,28,30,45,55,65,75,85,95,110,130,140,150,170,190,210,220,240,260,280,300,320
108,sitio1_var108,6.085468682195278,65.70747493814562,116.31890762354443,437.2,60.0,4765.06,5718.072,2,5,8,10,12,15,18,20,24,28,30,45,55,65,75,85,95,110,130,140,150,170,190,210,220,240,260,280,300,320
109,sitio1_var109,6.164524313902554,75.06666711644414,116.05404098877278,437.2,60.0,100.0,965.4,2,5,8,10,12,15,18,20,24,28,30,45,55,65,75,85,95,110,130,140,150,170,190,210,220,240,260,280,300,320
110,sitio1_var110,6.360819768595263,70.04171536441935,120.10912853252896,437.2,90.0,804.5,965.4,2,5,8,10,12,15,18,20,24,28,30,45,55,65,75,85,95,110,130,140,150,170,190,210,220,240,260,280,300,320
111,sitio1_var111,6.213323880730328,77.12102858293417,126.96694228827985,150.0,60.0,804.5,5718.072,2,5,8,10,12,15,18,20,24,28,30,45,55,65,75,85,95,110,130,140,150,170,190,210,220,240,260,280,300,320
112,sitio1_var112,6.1287047233757965,73.38149265594616,123.18071317695768,196.01,60.0,4765.06,5718.072,2,5,8,10,12,15,18,20,24,28,30,45,55,65,75,85,95,110,130,140,150,170,190,210,220,240,260,280,300,320
113,sitio1_var113,6.358189739345074,65.6704698589895,120.77063010684603,437.2,60.0,100.0,965.4,2,5,8,10,12,15,18,20,24,28,30,45,55,65,75,85,95,110,130,140,150,170,190,210,220,240,260,280,300,320
114,sitio1_var114,6.124518232923284,74.86257757713348,114.53742134451096,150.0,60.0,4765.06,965.4,2,5,8,10,12,15,18,20,24,28,30,45,55,65,75,85,95,110,130,140,150,170,190,210,220,240,260,280,300,320
115,sitio1_var115,6.209945126122758,71.22370861333776,124.29781660787006,196.01,60.0,804.5,120.0,2,5,8,10,12,15,18,20,24,28,30,45,55,65,75,85,95,110,130,140,150,170,190,210,220,240,260,280,300,320
116,sitio1_var116,6.199513315779461,60.80991307690063,113.81906290198215,196.01,60.0,100.0,5718.072,2,5,8,10,12,15,18,20,24,28,30,45,55,65,75,85,95,110,130,140,150,170,190,210,220,240,260,280,300,320
117,sitio1_var117,6.195960630024773,69.48244021054653,124.84358989812283,196.01,60.0,100.0,5718.072,2,5,8,10,12,15,18,20,24,28,30,45,55,65,75,85,95,110,130,140,150,170,190,210,220,240,260,280,300,320
118,sitio1_var118,6.267470819955419,66.06672132486727,130.85485184546368,437.2,60.0,4765.06,120.0,2,5,8,10,12,15,18,20,24,28,30,45,55,65,75,85,95,110,130,140,150,170,190,210,220,240,260,280,300,320
119,sitio1_var119,6.257242351061246,71.52166732914208,124.18826994926039,437.2,60.0,100.0,965.4,2,5,8,10,12,15,18,20,24,28,30,45,55,65,75,85,95,110,130,140,150,170,190,210,220,240,260,280,300,320
120,sitio1_var120,6.261507760597015,68.76009453803493,125.43168779385262,150.0,90.0,4765.06,965.4,2,5,8,10,12,15,18,20,24,28,30,45,55,65,75,85,95,110,130,140,150,170,190,210,220,240,260,280,300,320
121,sitio1_var121,6.136624984711504,68.69963465891105,125.09327296745654,196.01,60.0,4765.06,120.0,2,5,8,10,12,15,18,20,24,28,30,45,55,65,75,85,95,110,130,140,150,170,190,210,220,240,260,280,300,320
