id,sitio+variante,Espesor_1,Espesor_2,Espesor_3,col1,col2,col3,col4
34,sitio2_variante34,2.1304616088245765,20.907350570029095,57.12061434742313,40.0,50.0,100.0,130.0
35,sitio2_variante35,2.4222411396117565,13.999606247667629,54.09246166274265,40.0,70.0,110.0,160.0
36,sitio2_variante36,1.7532978145079459,10.414593991899853,53.41570895520576,40.0,80.0,90.0,150.0
37,sitio2_variante37,1.3467869268364043,20.57265204272582,53.28478108994318,10.0,70.0,110.0,140.0
38,sitio2_variante38,2.3018613197755267,17.440987804971293,43.13316590416201,20.0,70.0,100.0,160.0
39,sitio2_variante39,1.6471406436251776,5.2013723441824204,58.50885208172433,20.0,70.0,100.0,130.0
40,sitio2_variante40,1.7872496583220074,14.289221987280486,51.450795675568656,10.0,70.0,100.0,150.0
41,sitio2_variante41,2.6883724017889308,11.71040864927894,54.83617107787345,10.0,80.0,110.0,140.0
42,sitio2_variante42,2.254947411499263,10.542187626776187,49.890382581897434,20.0,80.0,120.0,130.0
43,sitio2_variante43,1.5921637411520781,13.087670661364461,63.650623849415474,20.0,70.0,120.0,130.0
44,sitio2_variante44,2.007270724410883,6.963602907028166,46.01781452510729,10.0,60.0,120.0,140.0
45,sitio2_variante45,1.5777872059624216,15.571592589792852,47.502653111220475,30.0,60.0,100.0,140.0
46,sitio2_variante46,2.0741098926233583,16.795448833034936,46.43080245183849,20.0,80.0,120.0,150.0
47,sitio2_variante47,2.9657070925323947,19.292489812005602,34.982829320519144,10.0,60.0,100.0,160.0
48,sitio2_variante48,2.863613439037422,11.48369513829245,46.041670965354875,40.0,50.0,90.0,150.0
49,sitio2_variante49,2.733761091790541,4.685210903003821,43.35661973674074,20.0,70.0,90.0,160.0
50,sitio2_variante50,3.49946819001671,5.344347221581485,52.96918764440858,30.0,80.0,110.0,130.0
51,sitio2_variante51,2.4553041060469116,22.2200011808609,55.402380172306096,30.0,60.0,110.0,160.0
52,sitio2_variante52,2.1069007832924034,8.853540021766236,48.339074792872516,10.0,70.0,110.0,140.0
53,sitio2_variante53,2.185213394953525,5.273815727007559,46.55854618367563,40.0,70.0,120.0,140.0
54,sitio2_variante54,2.4062116202143686,6.132495966242223,65.02900021002753,20.0,60.0,90.0,160.0
55,sitio2_variante55,3.205009402068829,17.85433939240513,49.55002906048972,30.0,80.0,120.0,150.0
56,sitio2_variante56,1.7591485831775113,9.860398003661622,38.52588851516631,20.0,60.0,100.0,140.0
57,sitio2_variante57,2.6019701916250693,10.876513606113637,48.63803232484561,10.0,70.0,110.0,140.0
58,sitio2_variante58,2.635629239363775,18.115038146174633,35.95384078198969,10.0,60.0,120.0,160.0
59,sitio2_variante59,2.0393871808026294,11.618878054353354,57.687807470670506,10.0,70.0,100.0,150.0
60,sitio2_variante60,3.19677327548564,7.947278686116245,56.82850746142387,30.0,50.0,100.0,150.0
61,sitio2_variante61,2.116074864802145,14.780102636469657,42.324012310879866,20.0,60.0,110.0,160.0
62,sitio2_variante62,2.4031360715740755,21.01805435427072,40.333986461533286,30.0,60.0,110.0,160.0
63,sitio2_variante63,2.444840348047619,9.67679178703695,41.7216458376677,40.0,60.0,120.0,160.0
64,sitio2_variante64,3.065423987888815,9.164024392571598,63.56283410697325,20.0,50.0,120.0,150.0
65,sitio2_variante65,1.7140111165715468,20.78392800630905,54.52089292700677,30.0,70.0,100.0,140.0
66,sitio2_variante66,3.1927699806505823,9.05612877274969,48.6456052033227,10.0,60.0,110.0,160.0
67,sitio2_variante67,1.4062901815652304,12.07490342744417,61.24033626660325,10.0,60.0,120.0,140.0
68,sitio2_variante68,1.8382312338371944,17.011304988227195,63.346017503303116,10.0,80.0,110.0,140.0
69,sitio2_variante69,2.0003553813365116,10.582130866198009,60.60481167843859,40.0,70.0,110.0,130.0
70,sitio2_variante70,2.815703410749959,11.399448193634257,46.09448115392887,20.0,60.0,110.0,150.0
71,sitio2_variante71,2.1676291624108237,10.744079233876233,62.77732662489192,40.0,60.0,110.0,140.0
72,sitio2_variante72,2.276464761464564,5.0809702562293335,63.99179461225286,10.0,80.0,110.0,130.0
73,sitio2_variante73,1.4132422108195304,13.851871904197113,34.713335536861074,20.0,70.0,120.0,160.0
74,sitio2_variante74,1.452633405939495,5.817189201831477,62.085441250594805,40.0,70.0,120.0,150.0
75,sitio2_variante75,2.8176185530616413,18.932302273212738,48.20205501390579,20.0,50.0,110.0,150.0
76,sitio2_variante76,1.3095263292747563,20.520935515789862,32.26655985928563,40.0,50.0,120.0,160.0
77,sitio2_variante77,2.9412105091796814,19.231566508793865,36.1461031515165,30.0,80.0,120.0,150.0
78,sitio2_variante78,2.1305527382297136,8.69323123481595,42.217270317392035,10.0,80.0,90.0,140.0
79,sitio2_variante79,3.1620217596786193,9.729651560958713,47.15083859539538,40.0,60.0,120.0,140.0
80,sitio2_variante80,1.4262603855282852,15.148447372687503,61.3827046016867,20.0,80.0,110.0,130.0
81,sitio2_variante81,3.365486256662436,4.6244464786666395,35.249072858212635,20.0,70.0,90.0,130.0
82,sitio2_variante82,2.346479918309515,19.74480023850108,56.574300491443566,40.0,50.0,100.0,160.0
83,sitio2_variante83,2.4343715114621327,20.723096460907815,62.87657872703157,20.0,70.0,110.0,140.0
84,sitio2_variante84,1.7632573959787832,14.184221825548782,32.9138245922643,40.0,80.0,110.0,130.0
85,sitio2_variante85,2.6542336139681755,21.50872665374566,56.00616888627711,20.0,50.0,120.0,160.0
86,sitio2_variante86,2.64596238467929,6.7484217979168655,38.6085225508676,10.0,70.0,110.0,150.0
87,sitio2_variante87,3.0417314810277434,7.404659726453633,32.442011076813365,20.0,80.0,110.0,140.0
88,sitio2_variante88,1.7337255896313706,22.80387265704617,35.200257812178215,10.0,50.0,100.0,150.0
89,sitio2_variante89,1.6006342472000992,15.183906332413718,61.912183201081305,40.0,70.0,110.0,160.0
90,sitio2_variante90,2.537306779367106,22.99172621759878,50.18185309494723,10.0,50.0,120.0,140.0
91,sitio2_variante91,1.8546708373170855,14.87419979027025,63.44324951774571,30.0,80.0,120.0,140.0
92,sitio2_variante92,1.4365557954625023,10.85826543186057,52.48306308814355,30.0,70.0,110.0,160.0
93,sitio2_variante93,1.9807288659744646,10.09957960303294,46.58219543000378,10.0,80.0,100.0,150.0
94,sitio2_variante94,1.3179601742070486,15.09296272557303,40.42688340043554,30.0,80.0,90.0,160.0
95,sitio2_variante95,3.056874200648916,5.904191837425137,46.43475802890279,40.0,70.0,100.0,150.0
96,sitio2_variante96,2.6640790933328775,11.467748197514432,49.20473485236836,40.0,60.0,100.0,140.0
97,sitio2_variante97,1.8132874803478338,11.897488067432544,38.99140020834376,40.0,60.0,90.0,160.0
98,sitio2_variante98,3.3579784707288054,6.865880397980389,45.50460335349747,10.0,60.0,120.0,130.0
99,sitio2_variante99,2.7964549147324176,5.088052051890887,59.74085683593212,30.0,50.0,110.0,150.0
100,sitio2_variante100,3.3598023278094153,22.49350972788311,56.386130783088575,10.0,70.0,100.0,130.0
101,sitio2_variante101,1.4452765413451152,10.39908864742721,54.4666135915044,30.0,60.0,120.0,150.0
102,sitio2_variante102,2.6008146982797262,14.217168971624906,47.4523034860722,40.0,70.0,110.0,160.0
103,sitio2_variante103,1.977055505874627,17.489378976681888,42.61933527048987,30.0,70.0,110.0,130.0
104,sitio2_variante104,1.7540896947271385,22.268146718298496,55.02249153073021,10.0,50.0,90.0,140.0
105,sitio2_variante105,3.4427292504270506,5.649460705503115,62.28979611166576,30.0,70.0,120.0,150.0
106,sitio2_variante106,1.332130396425567,9.326784227703303,34.38926504700027,30.0,80.0,90.0,130.0
107,sitio2_variante107,2.496198860122686,19.961478449275575,59.989259944074206,20.0,80.0,110.0,130.0
108,sitio2_variante108,3.1402973394516405,16.084891140442025,61.24905048530425,20.0,70.0,90.0,130.0
109,sitio2_variante109,2.3084279935652923,7.339477288632157,45.12733830444058,10.0,50.0,100.0,140.0
110,sitio2_variante110,1.7977492932142822,8.413796170422408,40.75324811716307,20.0,50.0,120.0,150.0
111,sitio2_variante111,3.2100430408206386,11.587263515257305,37.8424832817833,10.0,60.0,100.0,130.0
112,sitio2_variante112,2.580747063378613,21.88788838929734,37.56859162193985,10.0,70.0,90.0,140.0
113,sitio2_variante113,1.8337900733398462,12.767896722492242,46.47880845523621,20.0,70.0,110.0,160.0
114,sitio2_variante114,1.8358719584312468,5.8906124448882915,64.088298157769,10.0,60.0,110.0,140.0
115,sitio2_variante115,2.0946588903483083,6.256398907317664,37.01567229779956,30.0,60.0,100.0,130.0
116,sitio2_variante116,1.6646715253031343,16.85745980815824,51.59179030571718,20.0,50.0,100.0,140.0
117,sitio2_variante117,3.2341438719156548,14.954280819153052,35.78136366591812,10.0,80.0,120.0,140.0
118,sitio2_variante118,3.112002558879191,20.150523595267934,34.951351397064265,20.0,70.0,110.0,150.0
119,sitio2_variante119,1.9299722855742756,17.62186096334065,58.480390050583814,10.0,70.0,110.0,130.0
120,sitio2_variante120,2.8671271943016494,15.386969704457275,51.536919530318066,40.0,70.0,90.0,140.0
121,sitio2_variante121,3.38701323897551,11.593329233885182,65.02668354700762,10.0,80.0,120.0,150.0
122,sitio2_variante122,2.289039319963297,7.355489075281932,47.46989214145903,30.0,80.0,100.0,140.0
123,sitio2_variante123,3.0757468928763525,22.07887257729345,65.31432444517483,10.0,50.0,110.0,160.0
124,sitio2_variante124,2.542859135196213,22.66860824811868,55.21086725128394,40.0,50.0,120.0,140.0
125,sitio2_variante125,2.047726016165649,19.656387998685993,44.45749519786753,30.0,80.0,110.0,130.0
126,sitio2_variante126,1.8402311251946286,5.816224172769498,32.124399590503295,20.0,50.0,90.0,150.0
127,sitio2_variante127,2.3513318037696354,21.21220591379204,49.25053127448551,20.0,50.0,100.0,150.0
128,sitio2_variante128,2.44518369474914,11.266436905236489,34.616955773406495,10.0,50.0,100.0,150.0
129,sitio2_variante129,3.24308107104076,13.198142386199027,32.630047081342724,10.0,80.0,90.0,140.0
130,sitio2_variante130,1.999975572683174,14.205796180599087,51.026424982983265,20.0,80.0,90.0,130.0
131,sitio2_variante131,3.4457042341807167,15.720708989866981,50.723614661531855,20.0,80.0,100.0,140.0
132,sitio2_variante132,3.3554882796222163,12.001374141399225,43.655514432233545,40.0,80.0,100.0,160.0
133,sitio2_variante133,2.562757402626704,14.325754674073448,42.059328236239246,10.0,80.0,110.0,140.0
134,sitio2_variante134,1.7591476939521047,17.162505998940567,35.46557090797589,30.0,60.0,120.0,140.0
135,sitio2_variante135,3.3119503286933414,10.231300255023008,36.16287885795259,20.0,50.0,100.0,160.0
136,sitio2_variante136,1.8423663139896016,14.478038108350946,42.84603474306087,30.0,70.0,110.0,160.0
137,sitio2_variante137,1.9249388228013686,8.107053846091329,50.72134168853496,20.0,80.0,100.0,150.0
138,sitio2_variante138,2.948767275210022,6.83477279792322,39.304729910075224,10.0,80.0,110.0,140.0
139,sitio2_variante139,2.2442623307639087,19.15211927193999,33.70361292592895,10.0,70.0,90.0,130.0
140,sitio2_variante140,3.2688800205691777,19.183076904275865,52.008835669020094,30.0,80.0,90.0,140.0
141,sitio2_variante141,2.3083603143907445,8.02991796250391,51.307385757082166,30.0,60.0,100.0,140.0
142,sitio2_variante142,1.7627315777824761,12.807908722658544,50.58392174327556,40.0,70.0,120.0,130.0
143,sitio2_variante143,1.5424950242241051,12.396250508046338,56.95195260165634,30.0,80.0,90.0,140.0
144,sitio2_variante144,2.201385206371556,21.839366650715775,43.94091373341691,40.0,80.0,100.0,130.0
145,sitio2_variante145,3.0314931410830526,18.38476559612296,62.40608204312598,30.0,80.0,110.0,140.0
146,sitio2_variante146,2.7870898125554158,14.629322932870988,45.56573365825743,40.0,70.0,120.0,130.0
147,sitio2_variante147,2.1098225547075207,13.49941609549583,64.75354248472311,40.0,50.0,110.0,140.0
148,sitio2_variante148,2.876464857515498,7.783573028159247,44.30431534077374,40.0,70.0,90.0,150.0
149,sitio2_variante149,1.601655242764888,7.321739007241402,48.04585820796055,30.0,50.0,120.0,150.0
150,sitio2_variante150,2.216801118590785,7.415203946546579,46.92385259923495,10.0,80.0,120.0,130.0
151,sitio2_variante151,1.3013008577035756,19.605124435083937,54.92976185141424,10.0,50.0,90.0,160.0
152,sitio2_variante152,2.847575385962331,19.74818164378887,54.666879315926295,30.0,50.0,100.0,130.0
153,sitio2_variante153,1.6864536813715583,10.376014681319155,51.74937270342558,40.0,50.0,100.0,140.0
154,sitio2_variante154,2.0213090138568273,14.09457799189482,56.949230566566136,30.0,60.0,120.0,130.0
155,sitio2_variante155,1.745193659563631,10.009860653921764,49.43378165681539,40.0,80.0,90.0,140.0
156,sitio2_variante156,3.1614484676113515,21.622484313847913,63.510919613723864,30.0,50.0,100.0,150.0
157,sitio2_variante157,2.0007501400410574,11.275900912066191,61.99796577787889,20.0,80.0,120.0,140.0
158,sitio2_variante158,1.9266710446042679,12.247707992590168,42.82291686967158,30.0,80.0,110.0,130.0
159,sitio2_variante159,1.9060849174766066,20.080665396913247,37.57958452608969,40.0,70.0,120.0,150.0
160,sitio2_variante160,1.6579606015765889,20.219780819188607,53.71135112485349,20.0,70.0,110.0,130.0
161,sitio2_variante161,2.831395309900998,16.656245804407313,65.41509333925022,10.0,70.0,90.0,130.0
162,sitio2_variante162,1.805268927655655,7.662502809961272,35.73451040723353,30.0,50.0,110.0,150.0
163,sitio2_variante163,1.8688777646682073,20.503085797477425,50.27042019146333,10.0,70.0,120.0,130.0
164,sitio2_variante164,2.2070734740024536,11.435421862641649,44.26562446719713,20.0,70.0,100.0,160.0
165,sitio2_variante165,2.3873184199291,12.324498503946536,63.966544503299914,40.0,60.0,90.0,160.0
166,sitio2_variante166,3.0830822220202334,4.9174076761006935,32.12576108214669,20.0,80.0,110.0,130.0
167,sitio2_variante167,2.3421008109010124,15.815263945825787,37.663154017972815,10.0,50.0,90.0,150.0
168,sitio2_variante168,1.5097661808671707,20.91072957455769,35.772947649267394,20.0,50.0,100.0,160.0
169,sitio2_variante169,2.881925086923652,13.231638390777315,54.09489067984127,30.0,50.0,100.0,160.0
170,sitio2_variante170,3.1079793746944158,8.763288923976397,38.94384887325238,30.0,60.0,100.0,150.0
171,sitio2_variante171,2.2260043680389874,6.7680438578879105,43.775696185520964,10.0,60.0,120.0,160.0
172,sitio2_variante172,3.007844609347841,20.39210322773636,35.80618838767734,20.0,60.0,90.0,150.0
173,sitio2_variante173,2.4397132105449657,21.46429942739915,40.40750783161353,10.0,70.0,90.0,140.0
174,sitio2_variante174,2.5062145506708644,13.173954094435294,43.721151767512296,40.0,80.0,110.0,160.0
175,sitio2_variante175,2.42768154952308,17.77911535913351,42.71367258071831,10.0,70.0,90.0,130.0
176,sitio2_variante176,1.548596486078228,6.660597383575209,51.588737633376624,20.0,50.0,120.0,160.0
177,sitio2_variante177,3.491917745338733,9.803289811477846,57.17545356810295,10.0,50.0,100.0,140.0
178,sitio2_variante178,2.5871169170726365,16.28114633887419,32.333733015140226,40.0,80.0,110.0,130.0
179,sitio2_variante179,2.894826626404953,9.81765771420029,57.208989321506046,10.0,70.0,100.0,160.0
180,sitio2_variante180,3.278830734321821,12.778815464777898,34.373847482194904,10.0,60.0,100.0,130.0
181,sitio2_variante181,2.5621675965734836,8.915268441340007,43.73338538043331,30.0,50.0,90.0,150.0
182,sitio2_variante182,3.295838887080181,7.982449865369407,50.74995106190963,30.0,60.0,90.0,160.0
183,sitio2_variante183,2.6580512242562966,12.851913384876928,60.14880393940929,10.0,70.0,120.0,160.0
184,sitio2_variante184,3.135131807982054,18.82607700498162,37.64986898385014,20.0,60.0,90.0,160.0
185,sitio2_variante185,2.8664114632340585,7.371549828352321,39.65535881949037,40.0,70.0,90.0,130.0
186,sitio2_variante186,1.4279776305742182,18.958072015167183,39.892062768771744,40.0,80.0,120.0,130.0
187,sitio2_variante187,2.281874415025573,22.034267616539047,35.20100710862171,30.0,50.0,100.0,130.0
188,sitio2_variante188,3.382447983583357,14.877077122976083,44.8470415165927,40.0,80.0,120.0,150.0
189,sitio2_variante189,1.8687860721924332,22.146400643502272,38.81029437187819,10.0,50.0,100.0,160.0
190,sitio2_variante190,2.067776396050078,20.454432883284056,64.47622534050643,20.0,60.0,90.0,140.0
191,sitio2_variante191,3.0209557150696558,19.64417732462337,60.24607059511847,30.0,50.0,120.0,150.0
192,sitio2_variante192,2.1113319440588523,19.273684169913082,64.59972350237086,20.0,70.0,90.0,150.0
193,sitio2_variante193,1.4914788933493703,21.34507418863454,59.35465848650843,20.0,50.0,90.0,130.0
194,sitio2_variante194,2.6077179288565406,10.551133944692562,34.85003126972525,40.0,70.0,100.0,140.0
195,sitio2_variante195,2.7901288845221197,5.098132132678207,65.92500840236733,40.0,70.0,90.0,140.0
196,sitio2_variante196,3.403442821373125,4.877795229325694,52.705655452238595,30.0,80.0,120.0,150.0
197,sitio2_variante197,1.3769148474053556,20.383893331241197,47.08521057581566,20.0,50.0,90.0,160.0
198,sitio2_variante198,2.3972706728666715,19.983151660183704,62.529293002493034,20.0,50.0,110.0,150.0
199,sitio2_variante199,3.124748271519092,12.995999673247963,51.98297609570696,40.0,60.0,120.0,140.0
200,sitio2_variante200,3.404031936960041,11.672863061120175,62.28672903228612,10.0,70.0,100.0,150.0
201,sitio2_variante201,2.070447928499223,15.62286175439571,58.176316503591345,20.0,70.0,110.0,150.0
202,sitio2_variante202,1.550858661937129,21.859088772593932,54.766823409087635,10.0,50.0,100.0,160.0
203,sitio2_variante203,1.648487246417481,18.407375669815337,57.80752777371728,10.0,70.0,110.0,130.0
204,sitio2_variante204,2.7133802684671906,10.918263147299243,37.400667417595656,40.0,70.0,100.0,150.0
205,sitio2_variante205,3.1323628901760285,21.342319864977576,35.34257206778022,30.0,70.0,100.0,140.0
206,sitio2_variante206,1.7585830740861637,13.769920126980562,32.1502335461934,20.0,80.0,120.0,140.0
207,sitio2_variante207,2.421875937606953,15.648242347269457,32.93437816854099,40.0,70.0,100.0,150.0
208,sitio2_variante208,2.3848115375369905,14.064405573084883,44.50525766615959,40.0,50.0,90.0,150.0
209,sitio2_variante209,2.769749814148021,16.042893922093704,48.64801969212127,30.0,80.0,100.0,160.0
210,sitio2_variante210,2.5288972999421913,4.737908389138484,36.13209954758989,30.0,70.0,100.0,160.0
211,sitio2_variante211,3.2743388357587317,18.88695369253925,39.599100372518336,10.0,80.0,110.0,140.0
212,sitio2_variante212,2.913262194832912,14.295396164589496,49.814663160221265,10.0,80.0,100.0,130.0
213,sitio2_variante213,2.5164211614717535,12.400852491051475,62.92194162794327,40.0,50.0,110.0,150.0
214,sitio2_variante214,2.0970122599908936,22.65288970444869,39.50271391817582,30.0,50.0,120.0,150.0
215,sitio2_variante215,3.06572221254057,5.928797210969751,38.671807385039614,40.0,70.0,120.0,160.0
216,sitio2_variante216,2.357274955781973,10.641318851412812,43.75293019461035,40.0,50.0,90.0,140.0
217,sitio2_variante217,3.2769245140803758,14.607273705780958,63.847575951513804,40.0,80.0,120.0,140.0
218,sitio2_variante218,1.5844773627803193,5.653997129892072,49.756519060977524,30.0,60.0,120.0,140.0
219,sitio2_variante219,2.9461244381515916,12.242147596026307,50.9319399871986,30.0,80.0,110.0,140.0
220,sitio2_variante220,1.4551586066651616,22.984018372425044,41.39200500128882,20.0,50.0,100.0,130.0
221,sitio2_variante221,1.7531941406032616,9.61535914192643,65.46800454541275,40.0,70.0,90.0,130.0
222,sitio2_variante222,2.952455324253588,14.938741902656703,33.86031430248653,10.0,50.0,100.0,130.0
223,sitio2_variante223,2.3016020141318942,12.361931230758671,44.23278060306703,30.0,60.0,90.0,130.0
224,sitio2_variante224,3.0237064232806787,15.101099611125132,56.507129049092555,20.0,70.0,90.0,130.0
225,sitio2_variante225,1.7442612330043055,17.179946835787035,41.78484815310037,30.0,80.0,110.0,130.0
226,sitio2_variante226,3.2675846540555336,9.827469269863478,56.48929837211726,20.0,70.0,120.0,130.0
227,sitio2_variante227,2.9102042980770597,9.138725224984043,35.619489907837895,20.0,50.0,100.0,130.0
228,sitio2_variante228,3.0035338677499364,21.38556312274482,60.625265392510435,20.0,60.0,90.0,150.0
229,sitio2_variante229,1.4867037140840311,13.04863828991599,34.8004625636259,10.0,50.0,110.0,150.0
230,sitio2_variante230,3.4346252841230935,10.824181119537378,61.226365646320886,20.0,60.0,110.0,150.0
231,sitio2_variante231,1.9440738432791207,5.2405006058294195,58.485556872318895,10.0,60.0,110.0,130.0
232,sitio2_variante232,1.3433938397916199,4.610091869589883,46.027337756061165,10.0,70.0,110.0,130.0
233,sitio2_variante233,2.26621783325811,7.357001510161254,37.84770122871749,10.0,80.0,110.0,130.0
234,sitio2_variante234,2.9050968773336727,10.937183072807144,61.8726536377276,30.0,50.0,110.0,130.0
235,sitio2_variante235,1.4630159059705308,18.217055829616548,56.08987746758428,30.0,80.0,120.0,160.0
236,sitio2_variante236,2.829183604016765,8.759810911235682,36.693821875632906,30.0,60.0,110.0,140.0
237,sitio2_variante237,1.9082524196995283,7.187616193021306,43.50495184441476,10.0,80.0,90.0,140.0
238,sitio2_variante238,2.5336232062251085,5.588768550295034,61.20660670707109,10.0,60.0,100.0,150.0
239,sitio2_variante239,3.3729954490175427,5.0989201695064565,37.60635271171179,30.0,50.0,120.0,140.0
240,sitio2_variante240,1.9553464765670094,12.498495453075607,37.085278080315845,20.0,70.0,120.0,140.0
241,sitio2_variante241,2.054272446761959,13.258819768286294,34.17776527486771,30.0,70.0,100.0,140.0
242,sitio2_variante242,2.0469471263366747,20.81106122003637,65.77545495394642,10.0,60.0,110.0,150.0
243,sitio2_variante243,3.4812103007023536,6.4092776651821755,49.7666534882199,10.0,70.0,120.0,150.0
244,sitio2_variante244,3.1900604212494668,22.852571424820624,36.01996820953509,40.0,80.0,120.0,140.0
245,sitio2_variante245,1.3543353792439994,12.63269786120926,54.13353993852523,40.0,60.0,120.0,160.0
246,sitio2_variante246,1.4527905108936507,20.87864015871491,48.74452662915216,40.0,50.0,110.0,140.0
247,sitio2_variante247,1.485634953421154,22.137106663444698,56.13104553306759,40.0,50.0,90.0,150.0
248,sitio2_variante248,3.471088909269617,7.706574248216952,39.09898355355332,30.0,70.0,110.0,140.0
249,sitio2_variante249,2.811458271547786,19.66527950418611,45.121399900641876,40.0,70.0,110.0,150.0
250,sitio2_variante250,2.0293234682863166,17.206219532906815,44.65682366488099,20.0,50.0,110.0,130.0
251,sitio2_variante251,1.618246072884706,9.97784638789767,40.18433490407274,30.0,50.0,100.0,160.0
252,sitio2_variante252,1.52184782022958,15.671507951883978,59.04635861069296,40.0,50.0,100.0,140.0
253,sitio2_variante253,1.9766660465936488,10.2375290029298,49.09035363213248,30.0,80.0,100.0,160.0
254,sitio2_variante254,2.226380591595771,18.155530803450564,45.76333637259555,10.0,80.0,90.0,160.0
255,sitio2_variante255,2.0548857157274973,4.967283968116852,55.80802184676276,10.0,70.0,100.0,140.0
256,sitio2_variante256,2.7334429738821036,12.12931062412546,50.17122459003387,40.0,60.0,110.0,130.0
257,sitio2_variante257,2.388327949159277,5.254210216255215,53.05476368867352,10.0,50.0,110.0,140.0
258,sitio2_variante258,2.1221110066136495,6.29524270165468,35.643175048859426,20.0,60.0,100.0,160.0
259,sitio2_variante259,3.1019362601973124,20.543146708093627,56.67794528942771,10.0,60.0,120.0,140.0
260,sitio2_variante260,3.084508209597507,15.80473256462212,48.210859280670306,30.0,80.0,120.0,130.0
261,sitio2_variante261,3.1659557854455715,6.802257469808494,55.17217078244453,40.0,80.0,120.0,150.0
262,sitio2_variante262,1.636476141191665,12.027367160710057,56.02393708012655,20.0,70.0,90.0,150.0
263,sitio2_variante263,3.1795647823700044,13.813340034408391,62.52766913558793,30.0,80.0,120.0,140.0
264,sitio2_variante264,2.3005151197047904,21.499354753620544,48.74905045302732,40.0,50.0,120.0,160.0
265,sitio2_variante265,1.70473861795374,8.128162441104667,52.15664242503166,30.0,60.0,90.0,130.0
266,sitio2_variante266,2.2564110364022802,22.25735505740627,50.14196937376258,20.0,80.0,120.0,160.0
267,sitio2_variante267,2.702794833912386,14.122650274052999,60.87376381312224,40.0,60.0,90.0,130.0
268,sitio2_variante268,3.1988157545616644,14.112778970303477,56.49204664919277,10.0,80.0,100.0,140.0
269,sitio2_variante269,2.012241349526368,12.622057844095607,40.00821260446045,10.0,60.0,100.0,140.0
